,train,val,test
0,normal_060,normal_081,normal_083
1,normal_076,normal_093,normal_097
2,normal_141,test_018,normal_150
3,normal_136,normal_135,normal_018
4,normal_158,normal_089,normal_153
5,normal_142,normal_110,test_067
6,normal_067,normal_131,normal_155
7,normal_146,test_095,normal_027
8,normal_028,normal_016,normal_009
9,normal_075,normal_148,normal_119
10,normal_096,test_070,test_003
11,normal_057,test_100,normal_138
12,normal_111,normal_092,test_053
13,normal_035,test_112,normal_115
14,normal_145,normal_005,normal_024
15,normal_127,normal_114,test_057
16,normal_120,normal_094,test_019
17,normal_144,test_035,normal_154
18,normal_069,normal_133,normal_160
19,normal_023,test_124,test_101
20,normal_109,normal_116,normal_079
21,normal_066,test_024,normal_125
22,normal_049,test_089,test_039
23,normal_025,test_022,normal_128
24,normal_046,tumor_037,tumor_081
25,normal_032,test_011,tumor_088
26,normal_002,tumor_106,tumor_060
27,normal_048,tumor_050,tumor_098
28,normal_034,tumor_068,tumor_084
29,normal_073,test_117,tumor_025
30,normal_070,tumor_053,tumor_051
31,normal_017,tumor_072,tumor_034
32,normal_045,tumor_012,test_033
33,normal_019,tumor_033,tumor_069
34,normal_063,tumor_078,tumor_099
35,normal_041,tumor_097,tumor_071
36,normal_037,test_084,test_097
37,normal_054,test_069,tumor_035
38,normal_157,tumor_073,tumor_064
39,normal_040,tumor_027,tumor_007
40,normal_118,,
41,normal_103,,
42,normal_062,,
43,normal_036,,
44,normal_043,,
45,normal_053,,
46,normal_123,,
47,normal_078,,
48,normal_012,,
49,normal_020,,
50,normal_122,,
51,normal_051,,
52,normal_087,,
53,normal_124,,
54,normal_090,,
55,normal_047,,
56,normal_099,,
57,normal_130,,
58,normal_140,,
59,normal_042,,
60,normal_026,,
61,normal_095,,
62,normal_071,,
63,normal_100,,
64,normal_082,,
65,test_106,,
66,test_012,,
67,test_023,,
68,test_120,,
69,test_125,,
70,test_115,,
71,test_054,,
72,test_020,,
73,test_077,,
74,test_107,,
75,test_045,,
76,test_063,,
77,test_041,,
78,test_081,,
79,test_056,,
80,test_080,,
81,test_015,,
82,test_078,,
83,test_055,,
84,test_085,,
85,test_096,,
86,test_059,,
87,test_103,,
88,test_088,,
89,test_050,,
90,test_129,,
91,normal_156,,
92,test_060,,
93,normal_117,,
94,test_093,,
95,test_130,,
96,normal_132,,
97,test_111,,
98,test_032,,
99,test_017,,
100,test_083,,
101,test_128,,
102,normal_021,,
103,test_091,,
104,test_072,,
105,test_014,,
106,test_044,,
107,test_127,,
108,test_123,,
109,normal_039,,
110,test_042,,
111,test_007,,
112,test_126,,
113,test_118,,
114,test_036,,
115,test_025,,
116,test_005,,
117,test_006,,
118,test_037,,
119,test_034,,
120,test_086,,
121,test_047,,
122,test_009,,
123,test_062,,
124,test_028,,
125,test_058,,
126,test_119,,
127,test_098,,
128,test_076,,
129,test_031,,
130,test_109,,
131,normal_074,,
132,test_043,,
133,test_087,,
134,normal_098,,
135,normal_139,,
136,normal_105,,
137,normal_088,,
138,normal_055,,
139,normal_102,,
140,normal_101,,
141,normal_084,,
142,normal_031,,
143,normal_143,,
144,tumor_010,,
145,tumor_100,,
146,tumor_077,,
147,tumor_017,,
148,tumor_070,,
149,tumor_056,,
150,tumor_093,,
151,tumor_101,,
152,tumor_108,,
153,tumor_019,,
154,tumor_091,,
155,tumor_048,,
156,tumor_047,,
157,tumor_061,,
158,tumor_026,,
159,tumor_096,,
160,tumor_040,,
161,tumor_102,,
162,tumor_011,,
163,tumor_038,,
164,tumor_004,,
165,tumor_062,,
166,tumor_065,,
167,tumor_092,,
168,tumor_082,,
169,tumor_030,,
170,tumor_083,,
171,tumor_003,,
172,tumor_059,,
173,tumor_086,,
174,tumor_075,,
175,tumor_014,,
176,tumor_066,,
177,tumor_080,,
178,tumor_103,,
179,tumor_043,,
180,tumor_079,,
181,tumor_090,,
182,tumor_015,,
183,tumor_029,,
184,tumor_054,,
185,tumor_067,,
186,tumor_052,,
187,tumor_013,,
188,tumor_006,,
189,tumor_039,,
190,tumor_110,,
191,tumor_105,,
192,tumor_002,,
193,tumor_031,,
194,tumor_104,,
195,tumor_094,,
196,tumor_074,,
197,tumor_021,,
198,tumor_063,,
199,tumor_085,,
200,tumor_023,,
201,tumor_109,,
202,tumor_087,,
203,tumor_042,,
204,tumor_111,,
205,tumor_016,,
206,tumor_020,,
207,tumor_044,,
208,tumor_095,,
209,tumor_009,,
210,tumor_055,,
211,tumor_089,,
212,tumor_045,,
213,tumor_058,,
214,tumor_001,,
215,tumor_036,,
216,tumor_049,,
217,tumor_057,,
218,tumor_028,,
219,tumor_005,,
220,tumor_008,,
221,tumor_018,,
222,tumor_041,,
223,tumor_046,,
224,tumor_022,,
225,tumor_076,,
226,tumor_032,,
227,tumor_024,,
228,tumor_107,,
229,test_094,,
230,test_052,,
231,test_046,,
232,test_061,,
233,test_016,,
234,test_102,,
235,test_122,,
236,test_092,,
237,test_113,,
238,test_013,,
239,test_004,,
